diretorio,modelo,preditor,n,sim_ticks,sim_insts,ipc,lookups_total,cond_incorrect,direct_cond,squashed_issued,squashed_examined,decode_squashed,clk_ticks,l1d_misses,l1d_miss_rate,miss_rate,clk_ghz
outorder_BiModeBP_n65536,outorder,BiModeBP,65536,62619889095.0,181903375.0,0.967326,112362889.0,2890082.0,74245390.0,341187.0,101412479.0,435307.0,333.0,2224296.0,0.029792,3.8926,3.0
outorder_BiModeBP_n131072,outorder,BiModeBP,131072,274387054000.0,369045467.0,1.344981,241784376.0,6137104.0,158272760.0,752520.0,223911495.0,869206.0,1000.0,5173554.0,0.033958,3.8775,1.0
outorder_BiModeBP_n131072,outorder,BiModeBP,131072,131188082750.0,366472553.0,0.698372,238749144.0,6095737.0,156908894.0,718482.0,220760453.0,868472.0,250.0,5170534.0,0.034194,3.8849,4.0
outorder_BiModeBP_n131072,outorder,BiModeBP,131072,146609117127.0,367203135.0,0.834045,238028583.0,6087508.0,156597010.0,703664.0,218999269.0,868532.0,333.0,5105720.0,0.033683,3.8874,3.0
outorder_BiModeBP_n262144,outorder,BiModeBP,262144,607861661000.0,752711502.0,1.238294,514017628.0,13122901.0,336201519.0,1745531.0,482656278.0,1736176.0,1000.0,11650072.0,0.037219,3.9033,1.0
outorder_BiModeBP_n262144,outorder,BiModeBP,262144,302553803500.0,744512357.0,0.61519,504646361.0,12751236.0,330488031.0,1598869.0,473008603.0,1735013.0,250.0,11619895.0,0.037687,3.8583,4.0
outorder_BiModeBP_n262144,outorder,BiModeBP,262144,338488258581.0,759683499.0,0.747366,524517396.0,13310374.0,340649044.0,1916935.0,495052917.0,1735962.0,333.0,11679941.0,0.036933,3.9074,3.0
outorder_BiModeBP_n524288,outorder,BiModeBP,524288,1318287179000.0,1516589135.0,1.150424,1072489359.0,26943936.0,699554077.0,3754191.0,1023059343.0,3469876.0,1000.0,25944617.0,0.041075,3.8516,1.0
outorder_BiModeBP_n524288,outorder,BiModeBP,524288,686022747750.0,1528740742.0,0.557103,1079763098.0,27403731.0,705348295.0,4043108.0,1029471318.0,3470102.0,250.0,26030977.0,0.040789,3.8851,4.0
outorder_BiModeBP_n524288,outorder,BiModeBP,524288,749183477256.0,1497727236.0,0.665716,1054041359.0,26314462.0,689721633.0,3196051.0,1003434122.0,3467954.0,333.0,25895783.0,0.041618,3.8152,3.0
outorder_BiModeBP_n1048576,outorder,BiModeBP,1048576,2841161102000.0,3051564928.0,1.074056,2246644880.0,56029052.0,1462267131.0,7793418.0,2175157049.0,6938279.0,1000.0,57445814.0,0.045027,3.8317,1.0
outorder_BiModeBP_n1048576,outorder,BiModeBP,1048576,1525364046250.0,3080435794.0,0.504869,2261461877.0,56534762.0,1471889800.0,8699009.0,2186812689.0,6939060.0,250.0,57035361.0,0.044257,3.841,4.0
outorder_BiModeBP_n1048576,outorder,BiModeBP,1048576,1668277727325.0,3085599188.0,0.615907,2258226137.0,56893414.0,1471803416.0,8803876.0,2178449111.0,6939015.0,333.0,57159166.0,0.044224,3.8656,3.0
outorder_LocalBP_n256,outorder,LocalBP,256,307871000.0,749327.0,2.433891,344716.0,11304.0,244079.0,2337.0,276495.0,3440.0,1000.0,2887.0,0.010428,4.6313,1.0
outorder_LocalBP_n256,outorder,LocalBP,256,93051000.0,743982.0,1.99885,337116.0,11050.0,239945.0,2330.0,269697.0,3433.0,250.0,3792.0,0.013838,4.6052,4.0
outorder_LocalBP_n256,outorder,LocalBP,256,116069481.0,747971.0,2.145901,335244.0,10933.0,238533.0,2315.0,263910.0,3442.0,333.0,3486.0,0.012639,4.5834,3.0
outorder_LocalBP_n512,outorder,LocalBP,512,573465000.0,1401227.0,2.443435,669653.0,22569.0,470195.0,4552.0,550449.0,5145.0,1000.0,2901.0,0.005336,4.7999,1.0
outorder_LocalBP_n512,outorder,LocalBP,512,158134000.0,1390865.0,2.198867,655657.0,21801.0,463061.0,4655.0,535524.0,5125.0,250.0,3812.0,0.007111,4.708,4.0
outorder_LocalBP_n512,outorder,LocalBP,512,197464005.0,1376169.0,2.320745,636344.0,20774.0,451056.0,4261.0,515593.0,5132.0,333.0,3493.0,0.00663,4.6056,3.0
outorder_LocalBP_n1024,outorder,LocalBP,1024,1125037000.0,2708048.0,2.407072,1352846.0,45839.0,939319.0,8778.0,1154189.0,8533.0,1000.0,4398.0,0.004069,4.88,1.0
outorder_LocalBP_n1024,outorder,LocalBP,1024,291564000.0,2699805.0,2.314931,1336811.0,43015.0,927015.0,8960.0,1153833.0,8524.0,250.0,5245.0,0.004912,4.6402,4.0
